x y
1006.8775874554557 1514.8878541514925
898.3537886969983 96.06372895251396
896.4619681155324 109.68809784911221
1198.6786435969032 1300.09385539519
881.6455639466844 109.96207766608151
1009.8558101485437 1500.0441287162607
401.6614767920021 1201.0511894643003
1012.4144148494834 1502.4616869448344
395.34188301088784 1202.5857315313106
987.3311991661694 1513.5365943164722
385.37713572757036 1187.527864241185
390.9563884324095 1214.8432705320438
390.6230047701581 1197.1045160027377
406.0930319613323 1205.9283639593368
895.2542243162394 104.04739031078454
1192.144527969872 1304.4348866363857
990.9282888414655 1503.6699864471768
901.1923575966562 105.83953176225808
1009.1914795751215 1499.9084719642126
1196.7494533467873 1308.9617044293548
405.9194849032545 1208.7910002157773
1201.5452912010664 1298.736433234674
1209.163513936542 1308.8751097701688
895.6260260396137 115.84439928474589
890.4911907438443 100.3632222883401
991.5627097427284 1496.7332499197828
1196.9224855267498 1295.3262777441842
895.6722763662344 119.87879420521858
415.4286312094998 1193.5506717856683
903.497952905575 93.79063244082091
1204.154953784569 1300.8348688191643
1186.170888734168 1302.4671457421348
402.37236676025566 1203.3255090614173
991.5509887893327 1491.6705633511408
1217.6154940773238 1310.7337730672448
905.1270881360697 96.09664302368
999.6393304115193 1490.854218240671
1191.2702138200978 1307.8706439390726
400.1972167604365 1195.7905473740757
994.948527896696 1501.0139946970783
